gene_id	utrname1	gene_symbol	gs_id
162989	NR_073051	DEDD2	11638
162989	NR_073049	DEDD2	11638
162989	NM_133328	DEDD2	11638
162989	NR_073047	DEDD2	11638
162989	NM_001270614	DEDD2	11638
162989	NM_001270615	DEDD2	11638
162989	NR_073046	DEDD2	11638
162989	NR_073048	DEDD2	11638
162989	NR_073052	DEDD2	11638
162989	NR_073050	DEDD2	11638
162998	NM_175883	OR7D2	11826
163033	NM_152600	ZNF579	3018
163049	NM_153358	ZNF791	11789
163071	NM_001301062	ZNF114	7210
163071	NM_153608	ZNF114	7210
163081	NM_001300979	ZNF567	5282
163081	NM_001322911	ZNF567	5282
163081	NM_001322920	ZNF567	5282
163081	NM_152603	ZNF567	5282
163081	NM_001322913	ZNF567	5282
163081	NM_001322912	ZNF567	5282
163081	NM_001322915	ZNF567	5282
163081	NM_001322918	ZNF567	5282
163081	NM_001322917	ZNF567	5282
163081	NM_001322914	ZNF567	5282
163081	NM_001322919	ZNF567	5282
163081	NM_001322916	ZNF567	5282
163087	NM_152604	ZNF383	10843
163115	NM_152605	ZNF781	13174
163126	NM_153232	EID2	14080
163131	NM_001005851	ZNF780B	11483
163223	NM_001001411	ZNF676	12328
163227	NM_173531	ZNF100	11041
163255	NM_001172225	ZNF540	5163
163255	NM_001172226	ZNF540	5163
163255	NM_152606	ZNF540	5163
163259	NM_001256404	DENND2C	6813
163259	NM_198459	DENND2C	6813
163351	NM_198460	GBP6	13943
163351	NM_001320257	GBP6	13943
163404	NM_001010861	PLPPR5	4449
163404	NM_001037317	PLPPR5	4449
163479	NM_001144937	FNDC7	4024
163486	NM_001300858	DENND1B	13150
163486	NM_144977	DENND1B	13150
163486	NR_125340	DENND1B	13150
163486	NM_001195216	DENND1B	13150
163486	NM_001195215	DENND1B	13150
163589	NM_001199092	TDRD5	4631
163589	NM_001199085	TDRD5	4631
163589	NM_173533	TDRD5	4631
163589	NM_001199089	TDRD5	4631
163589	NM_001199091	TDRD5	4631
163590	NM_145034	TOR1AIP2	4422
163590	NM_001199260	TOR1AIP2	4422
163590	NM_022347	TOR1AIP2	4422
163688	NM_138705	CALML6	4004
163702	NM_173064	IFNLR1	7417
163702	NM_173065	IFNLR1	7417
